Product.Category,Product.Subcategory,Gender,LifeStage,Trend.Theme,Inspiration.Background,Length,Sleeve,Collar.Design,Neck.Design,Fit,Sample.Manufacturer,Production.Manufacturer,Colors
,,,,,,,,,,,,,"ΠΡΑΣΙΝΟ_084,233,198"
,,,,,,,,,,,,,"ΑΝΘΡΑΚΙ_039,039,039,ΧΑΚΙ_102,113,087"
,,,,,,,,,,,,,"ΜΕΛΑΝΖΕ_207,207,207,ΠΟΡΤΟΚΑΛΙ_255,105,018"
,,,,,,,,,,,,,"ΣΚΟΥΡΟ ΜΕΛΑΝΖΕ_039,039,039,ΣΚΟΥΡΟ ΜΠΛΕ_037,045.095"
,,,,,,,,,,,,,"ΛΕΥΚΟ_255,255,255,ΧΑΚΙ_102,113,087"
,,,,,,,,,,,,,"ΚΟΚΚΙΝΟ_242,011,046,ΜΕΛΑΝΖΕ_207,207,207"
,,,,,,,,,,,,,"ΣΚΟΥΡΟ ΜΕΛΑΝΖΕ_175,175,175"
,,,,,,,,,,,,,"ΑΝΘΡΑΚΙ_039,039,039,ΒΑΤΟΜΟΥΡΟ_164,036,045,ΛΕΥΚΟ_255,255,255,ΜΑΡΕΝ_021,021,053,ΜΕΛΑΝΖΕ_207,207,207,ΡΑΦ_107,142,195"
,,,,,,,,,,,,,"ΛΕΥΚΟ_255,255,255,ΜΑΡΕΝ_021,021,053,ΜΑΥΡΟ_000,000,000,ΜΕΛΑΝΖΕ_207,207,207,ΜΠΛΕ_010,010,172"
,,,,,,,,,,,,,"ΜΑΡΕΝ_021,021,053,ΜΑΥΡΟ_000,000,000,ΜΕΛΑΝΖΕ_"
,,,,,,,,,,,,,"ΜΑΡΕΝ_021,021,053,ΜΑΥΡΟ_000,000,000,ΜΕΛΑΝΖΕ_,ΜΠΛΕ_010,010,172"
,,,,,,,,,,,,,"ΚΟΚΚΙΝΟ_242,011,046,ΛΕΥΚΟ_255,255,255,ΜΑΡΕΝ_021,021,053,ΜΕΛΑΝΖΕ_"
,,,,,,,,,,,,,"ΜΠΛΕ_010,010,172,ΠΡΑΣΙΝΟ_000,179,087"
,,,,,,,,,,,,,"ΕΚΡΟΥ_255,255,244,ΜΕΛΑΝΖΕ_207,207,207"
,,,,,,,,,,,,,"ΚΟΚΚΙΝΟ_242,011,046,ΜΠΛΕ_107,142,195"
,,,,,,,,,,,,,"ΜΑΥΡΟ_000,000,000,ΜΠΛΕ_037,045,095"
,,,,,,,,,,,,,"ΒΕΡΥΚΟΚΚΙ_255,138,087,ΡΟΥΑ_046,095,255"
,,,,,,,,,,,,,"ΒΕΡΥΚΟΚΚΙ_255,138,087,ΛΕΥΚΟ_255,255,255"
,,,,,,,,,,,,,"ΜΑΡΕΝ_0,0,125,ΜΕΛΑΝΖΕ_207,207,207"
,,,,,,,,,,,,,"ΚΟΚΚΙΝΟ_242,011,046,ΡΟΥΑ_046,095,255"
,,,,,,,,,,,,,"ΙΝΤΙΓΚΟ_107,142,195,ΛΕΥΚΟ_255,255,255"
,,,,,,,,,,,,,"ΜΕΛΑΝΖΕ_207,207,207,ΣΚΟΥΡΟ ΜΠΛΕ_037,045,095"
,,,,,,,,,,,,,"ΜΠΛΕ_010,010,172,ΣΚΟΥΡΟ ΜΕΛΑΝΖΕ_175,175,175"
,,,,,,,,,,,,,"ΚΑΡΟΤΙ_248,058,000,ΣΙΕΛ_123,181,255"
,,,,,,,,,,,,,"ΜΠΛΕ_28,28,255,ΣΚΟΥΡΟ ΜΕΛΑΝΖΕ_175,175,175"
,,,,,,,,,,,,,"ΜΠΛΕ_037,045,095,ΣΚΟΥΡΟ ΜΕΛΑΝΖΕ_175,175,175"
,,,,,,,,,,,,,"ΕΚΡΟΥ_255,255,255"
,,,,,,,,,,,,,"ΛΕΥΚΟ_255,255,255,ΜΕΛΑΝΖΕ_207,207,207"
